FullName,F_Name,Sort_Family,Popular_group_Name
ALLEPYRIS microneurus,Bethylidae,1,Wasp
BETHYLUS boops,Bethylidae,1,Wasp
BETHYLUS cephalotes,Bethylidae,1,Wasp
BETHYLUS dendrophilus,Bethylidae,1,Wasp
BETHYLUS fuscicornis,Bethylidae,1,Wasp
CEPHALONOMIA formiciformis,Bethylidae,1,Wasp
CEPHALONOMIA gallicola,Bethylidae,1,Wasp
CEPHALONOMIA hammi,Bethylidae,1,Wasp
CEPHALONOMIA tarsalis,Bethylidae,1,Wasp
CEPHALONOMIA waterstoni,Bethylidae,1,Wasp
EPYRIS bilineatus,Bethylidae,1,Wasp
EPYRIS brevipennis,Bethylidae,1,Wasp
EPYRIS niger,Bethylidae,1,Wasp
GONIOZUS claripennis,Bethylidae,1,Wasp
HOLEPYRIS glabratus,Bethylidae,1,Wasp
HOLEPYRIS sylvanidis,Bethylidae,1,Wasp
PLASTANOXUS chittendenii,Bethylidae,1,Wasp
PLASTANOXUS munroi,Bethylidae,1,Wasp
PLASTANOXUS westwoodi,Bethylidae,1,Wasp
PRISTOCERA depressa,Bethylidae,1,Wasp
PSEUDISOBRACHIUM subcyaneum,Bethylidae,1,Wasp
CHRYSIS angustula,Chrysididae,3,Wasp
CHRYSIS bicolor,Chrysididae,3,Wasp
CHRYSIS fulgida,Chrysididae,3,Wasp
CHRYSIS gracillima,Chrysididae,3,Wasp
CHRYSIS ignita s.l.,Chrysididae,3,Wasp
CHRYSIS ignita s.s.,Chrysididae,3,Wasp
CHRYSIS illigeri,Chrysididae,3,Wasp
CHRYSIS impressa,Chrysididae,3,Wasp
CHRYSIS longula,Chrysididae,3,Wasp
CHRYSIS mediata,Chrysididae,3,Wasp
CHRYSIS pseudobrevitarsis,Chrysididae,3,Wasp
CHRYSIS ruddii,Chrysididae,3,Wasp
CHRYSIS rutiliventris,Chrysididae,3,Wasp
CHRYSIS schencki,Chrysididae,3,Wasp
CHRYSIS viridula,Chrysididae,3,Wasp
CHRYSURA hirsuta,Chrysididae,3,Wasp
CHRYSURA radians,Chrysididae,3,Wasp
CLEPTES nitidulus,Chrysididae,3,Wasp
CLEPTES semiauratus,Chrysididae,3,Wasp
ELAMPUS panzeri,Chrysididae,3,Wasp
HEDYCHRIDIUM ardens,Chrysididae,3,Wasp
HEDYCHRIDIUM coriaceum,Chrysididae,3,Wasp
HEDYCHRIDIUM cupreum,Chrysididae,3,Wasp
HEDYCHRIDIUM roseum,Chrysididae,3,Wasp
HEDYCHRUM niemelai,Chrysididae,3,Wasp
HEDYCHRUM rutilans,Chrysididae,3,Wasp
HOPOLOGYA ovata,Chrysididae,3,Wasp
OMALUS aeneus,Chrysididae,3,Wasp
OMALUS puncticollis,Chrysididae,3,Wasp
PHILOCTETES truncatus,Chrysididae,3,Wasp
PSEUDOMALUS auratus,Chrysididae,3,Wasp
PSEUDOMALUS violaceus,Chrysididae,3,Wasp
PSEUDOSPINOLIA neglecta,Chrysididae,3,Wasp
TRICHRYSIS cyanea,Chrysididae,3,Wasp
ANTEON arcuatum,Dryinidae,5,Wasp
ANTEON brachycerum,Dryinidae,5,Wasp
ANTEON ephippiger,Dryinidae,5,Wasp
ANTEON exiguum,Dryinidae,5,Wasp
ANTEON faciale,Dryinidae,5,Wasp
ANTEON flavicorne,Dryinidae,5,Wasp
ANTEON fulviventre,Dryinidae,5,Wasp
ANTEON gaullei,Dryinidae,5,Wasp
ANTEON infectum,Dryinidae,5,Wasp
ANTEON jurineanum,Dryinidae,5,Wasp
ANTEON pubicorne,Dryinidae,5,Wasp
ANTEON reticulatum,Dryinidae,5,Wasp
ANTEON scapulare,Dryinidae,5,Wasp
ANTEON tripartitum,Dryinidae,5,Wasp
APHELOPUS atratus,Dryinidae,5,Wasp
APHELOPUS camus,Dryinidae,5,Wasp
APHELOPUS melaleucus,Dryinidae,5,Wasp
APHELOPUS nigriceps,Dryinidae,5,Wasp
APHELOPUS querceus,Dryinidae,5,Wasp
APHELOPUS serratus,Dryinidae,5,Wasp
DRYINUS collaris,Dryinidae,5,Wasp
DRYINUS niger,Dryinidae,5,Wasp
GONATOPUS albosignatus,Dryinidae,5,Wasp
GONATOPUS bicolor,Dryinidae,5,Wasp
GONATOPUS clavipes,Dryinidae,5,Wasp
GONATOPUS distinguendus,Dryinidae,5,Wasp
GONATOPUS formicicolus,Dryinidae,5,Wasp
GONATOPUS helleni,Dryinidae,5,Wasp
